chr1	3214482	3671498	-	Xkr4	1	3671498
chr1	4119866	4409241	-	Rp1	3	4409241
chr1	4490928	4497354	-	Sox17	1	4497354
chr1	4773198	4785726	-	Mrpl15	1	4785726
chr1	4807823	4846735	+	Lypla1	1	4807823
chr1	4857694	4897909	+	Tcea1	2	4857694
chr1	4909576	5070285	-	Rgs20	3	5070285
chr1	5083086	5162549	+	Atp6v1h	1	5083086
chr1	5588493	5606133	+	Oprk1	1	5588493
chr1	5913707	5917398	-	Npbwr1	1	5917398
chr1	6214662	6276104	+	Rb1cc1	1	6214662
chr1	6359331	6394731	+	Alkal1	1	6359331
chr1	6487231	6860940	+	St18	2	6487231
chr1	7088920	7173628	+	Pcmtd1	1	7088920
chr1	8359739	9299877	-	Sntg1	1	9299877
chr1	9545408	9547455	+	Rrs1	1	9545408
chr1	9547948	9577970	+	Adhfe1	1	9547948
chr1	9601267	9627142	+	Vxn	1	9601267
chr1	9667411	9700209	-	Mybl1	1	9700209
chr1	9718622	9748382	-	Vcpip1	1	9748382
chr1	9798130	9902570	+	Sgk3	2	9798130
chr1	9908638	9940954	+	Mcmdc2	1	9908638
chr1	9960163	9967810	-	Tcf24	1	9967810
chr1	9968622	10009136	-	Ppp1r42	1	10009136
chr1	10024600	10038159	-	Cops5	1	10038159
chr1	10038218	10136768	+	Cspp1	2	10038218
chr1	10137507	10232670	-	Arfgef1	1	10232670
chr1	10324719	10719945	-	Cpa6	1	10719945
chr1	10993465	11303682	+	Prex2	2	10993465
chr1	11414105	11975902	+	A830018L16Rik	2	11414105
chr1	12692430	12860372	+	Sulf1	2	12692430
chr1	12866549	12991135	-	Slco5a1	1	12991135
chr1	13113428	13127163	-	Prdm14	1	13127163
chr1	13139105	13374083	-	Ncoa2	2	13374083
chr1	13564693	13589910	-	Tram1	1	13589910
chr1	13625898	13660509	-	Lactb2	1	13660509
chr1	13668771	13701723	+	Xkr9	1	13668771
chr1	14168958	14310199	-	Eya1	1	14310199
chr1	14753346	14755966	-	Msc	1	14755966
chr1	14872644	14918862	-	Trpa1	1	14918862
chr1	15286925	15723750	+	Kcnb2	1	15286925
chr1	15805646	15844052	+	Terf1	1	15805646
chr1	15853862	15892722	-	Sbspon	1	15892722
chr1	16065979	16093325	-	4930444P10Rik	1	16093325
chr1	16101295	16104433	-	Rpl7	1	16104433
chr1	16105882	16132550	+	Rdh10	1	16105882
chr1	16228810	16519302	-	Stau2	3	16519302
chr1	16540788	16619291	-	Ube2w	2	16619291
chr1	16641725	16657119	-	Eloc	2	16657119
chr1	16665191	16678275	+	Tmem70	1	16665191
chr1	16688456	16709605	+	Ly96	1	16688456
chr1	16994938	17097889	-	Jph1	1	17097889
chr1	17145373	17164271	+	Gdap1	1	17145373
chr1	17601901	17630939	+	Pi15	1	17601901
chr1	17727045	17766344	+	Crispld1	2	17727045
chr1	18115191	18145902	-	Crisp4	1	18145902
chr1	18236402	18237476	-	Defb18	1	18237476
chr1	18250978	18265138	-	Defb41	2	18265138
chr1	19103022	19173948	+	Tfap2d	3	19103022
chr1	19208914	19238845	+	Tfap2b	2	19208914
chr1	20057779	20618057	-	Pkhd1	1	20618057
chr1	20730905	20734496	+	Il17a	1	20730905
chr1	20777146	20784270	-	Il17f	1	20784270
chr1	20802968	20820312	-	Mcm3	1	20820312
chr1	20890548	20939650	+	Paqr8	2	20890548
chr1	20951626	20990841	+	Efhc1	1	20951626
chr1	21001397	21079225	-	Tram2	1	21079225
chr1	21218575	21230167	+	Tmem14a	1	21218575
chr1	21240585	21265575	+	Gsta3	1	21240585
chr1	21349677	21352199	+	Khdc1a	1	21349677
chr1	21368331	21369743	+	Khdc1c	1	21368331
chr1	21383556	21386384	+	Khdc1b	1	21383556
chr1	21398399	21962650	-	Kcnq5	2	21962650
chr1	22285972	22806158	-	Rims1	1	22806158
chr1	23100473	23102253	-	Ppp1r14bl	1	23102253
chr1	23366424	23383201	-	Ogfrl1	2	23383201
chr1	23761926	23847865	+	B3gat2	1	23761926
chr1	23845625	23922381	-	Smap1	2	23922381
chr1	23995939	24005640	-	Sdhaf4	1	24005640
chr1	24010758	24100341	-	Fam135a	1	24100341
chr1	24177610	24252738	+	Col9a1	2	24177610
chr1	24257683	24587437	-	Col19a1	1	24587437
chr1	24678544	24766301	+	Lmbrd1	2	24678544
chr1	25067476	25829707	-	Adgrb3	1	25829707
chr1	25276404	25277954	-	Gm20172	1	25277954
chr1	26681801	26687460	-	4931408C20Rik	1	26687460
chr1	28776122	28780252	-	Gm597	1	28780252
chr1	30802342	30863256	-	Phf3	1	30863256
chr1	30940303	30949755	-	Ptp4a1	1	30949755
chr1	31176435	31204725	+	Lgsn	1	31176435
chr1	31222839	31224287	+	Dnaaf6	1	31222839
chr1	32172722	32658569	+	Khdrbs2	1	32172722
chr1	32519563	32520999	-	Gm9839	1	32520999
chr1	32543546	32547293	-	Gm5415	1	32547293
chr1	33453808	33669794	-	Prim2	1	33669794
chr1	33719896	33742564	+	Rab23	2	33719896
chr1	33745484	33757750	-	Bag2	1	33757750
chr1	33761541	33814595	-	Zfp451	3	33814595
chr1	33835899	33838914	-	Gm15455	1	33838914
chr1	33852052	33907767	-	Bend6	2	33907767
chr1	33908225	34308662	+	Dst	3	33908225
chr1	34436670	34439672	-	Ccdc115	1	34439672
chr1	34439829	34445747	+	Imp4	1	34439829
chr1	34459746	34473784	+	Ptpn18	1	34459746
chr1	34498412	34503062	+	Prss39	1	34498412
chr1	34535648	34544311	+	Cfc1	1	34535648
chr1	34552331	34560943	-	Prss40	1	34560943
chr1	34579693	34590944	+	Amer3	1	34579693
chr1	34678182	34812738	+	Arhgef4	2	34678182
chr1	34813218	34843050	-	Fam168b	1	34843050
chr1	34849959	34879585	+	Plekhb2	3	34849959
chr1	36068400	36106446	+	Hs6st1	1	36068400
chr1	36140028	36244302	-	Uggt1	1	36244302
chr1	36264602	36273425	-	Neurl3	1	36273425
chr1	36307733	36324029	+	Arid5a	1	36307733
chr1	36335730	36369181	-	Kansl3	1	36369181
chr1	36372190	36422110	+	Fer1l5	1	36372190
chr1	36423186	36445271	-	Lman2l	1	36445271
chr1	36471597	36508776	+	Cnnm4	1	36471597
chr1	36511867	36528237	+	Cnnm3	1	36511867
chr1	36530193	36536556	-	Ankrd23	2	36536556
chr1	36538171	36547252	-	Ankrd39	1	36547252
chr1	36548639	36558381	-	Sema4c	2	36558381
chr1	36562696	36683183	-	Fam178b	4	36683183
chr1	36691487	36693388	+	Cox5b	1	36691487
chr1	36699202	36709925	-	Actr1b	1	36709925
chr1	36714537	36757959	+	4933424G06Rik	1	36714537
chr1	36761798	36782820	+	Zap70	4	36761798
chr1	36792189	36939527	-	Tmem131	1	36939527
chr1	37029313	37187608	+	Vwa3b	2	37029313
chr1	37218278	37263384	+	Cnga3	2	37218278
chr1	37299838	37410740	+	Inpp4a	3	37299838
chr1	37417085	37430103	-	Coa5	1	37430103
chr1	37430139	37438987	+	Unc50	1	37430139
chr1	37439340	37541016	-	Mgat4a	2	37541016
chr1	37611676	37719811	-	Cracdl	1	37719811
chr1	37754572	37865298	-	Tsga10	3	37865298
chr1	37871738	37876228	+	Lipt1	3	37871738
chr1	37874801	37890411	-	Mitd1	2	37890411
chr1	37890477	37898338	+	Mrpl30	1	37890477
chr1	37905923	37916493	-	Lyg2	1	37916493
chr1	37946738	37957759	-	Lyg1	1	37957759
chr1	37983867	37997208	-	Txndc9	1	37997208
chr1	37998010	38055579	+	Eif5b	1	37998010
chr1	38052786	38129666	-	Rev1	1	38129666
chr1	38175991	38627244	-	Aff3	1	38627244
chr1	38793669	38836687	-	Lonrf2	1	38836687
chr1	38863872	38898160	-	Chst10	1	38898160
chr1	38939149	38950276	+	Nms	1	38939149
chr1	38987814	38997236	+	Pdcl3	1	38987814
chr1	39194272	39363240	+	Npas2	1	39194272
chr1	39371495	39478755	-	Tbc1d8	3	39478755
chr1	39535701	39546881	+	Cnot11	1	39535701
chr1	39551296	39577347	-	Rnf149	1	39577347
chr1	39618406	39651182	-	Creg2	1	39651182
chr1	39665301	39720989	-	Rfx8	1	39720989
chr1	39804141	39805332	-	Gm3646	1	39805332
chr1	39900913	40026310	+	Map4k4	1	39900913
chr1	40084714	40125230	+	Il1r2	2	40084714
chr1	40225080	40316177	+	Il1r1	2	40225080
chr1	40324589	40367555	+	Il1rl2	1	40324589
chr1	40429570	40465415	+	Il1rl1	3	40429570
chr1	40465552	40500854	+	Il18r1	3	40465552
chr1	40515362	40551705	+	Il18rap	1	40515362
chr1	40580227	40630731	+	Slc9a4	1	40580227
chr1	40681712	40768885	+	Slc9a2	1	40681712
chr1	40772040	40790657	-	Mfsd9	1	40790657
chr1	40805601	40855267	+	Tmem182	1	40805601
chr1	42695768	42700210	+	Pou3f3	1	42695768
chr1	42851233	42905683	+	Mrps9	1	42851233
chr1	42952872	43035449	+	Gpr45	1	42952872
chr1	43047200	43098628	-	Tgfbrap1	2	43098628
chr1	43098710	43115946	+	AI597479	1	43098710
chr1	43123071	43196761	-	Fhl2	2	43196761
chr1	43445751	43570518	+	Nck2	1	43445751
chr1	43730602	43742564	+	Ecrg4	1	43730602
chr1	43746961	43827839	-	Uxs1	2	43827839
chr1	43933994	44003000	+	Tpp2	1	43933994
chr1	44009408	44020006	-	Mettl21c	1	44020006
chr1	44055871	44079746	-	Gm8251	1	44079746
chr1	44086613	44102441	-	Tex30	1	44102441
chr1	44106546	44118773	-	Poglut2	1	44118773
chr1	44118957	44144771	+	Bivm	4	44118957
chr1	44147744	44181260	+	Ercc5	1	44147744
chr1	44204070	44218931	-	Mettl21e	1	44218931
chr1	44551671	44796836	+	Gulp1	1	44551671
chr1	45311538	45349706	+	Col3a1	1	45311538
chr1	45374331	45503282	-	Col5a2	1	45503282
chr1	45795166	45823638	+	Wdr75	1	45795166
chr1	45908070	45925594	-	Slc40a1	1	45925594
chr1	46066853	46373546	+	Dnah7b	1	46066853
chr1	46425518	46807477	+	Dnah7c	1	46425518
chr1	46807544	46925776	-	Slc39a10	2	46925776
chr1	50927523	51187270	+	Tmeff2	1	50927523
chr1	51289126	51302960	+	Cavin2	1	51289126
chr1	51469488	51478399	-	Nabp1	1	51478399
chr1	51749758	51915978	-	Myo1b	1	51915978
chr1	51987148	52107189	+	Stat4	2	51987148
chr1	52119438	52161865	+	Stat1	2	52119438
chr1	52163449	52233232	-	Gls	2	52233232
chr1	52455849	52500448	-	Nab1	1	52500448
chr1	52630705	52651919	+	Nemp2	1	52630705
chr1	52656286	52727358	-	Mfsd6	3	52727358
chr1	52789418	52817688	-	Inpp1	1	52817688
chr1	52845038	52920986	+	Hibch	1	52845038
chr1	52922324	52992657	-	1700019D03Rik	7	52992657
chr1	53061640	53068079	+	Mstn	1	53061640
chr1	53158577	53187617	-	1700019A02Rik	1	53187617
chr1	53189187	53297028	-	Pms1	1	53297028
chr1	53297095	53310245	+	Ormdl1	1	53297095
chr1	53313624	53326343	+	Osgepl1	1	53313624
chr1	53344617	53352752	-	Asnsd1-Asdurf	2	53352752
chr1	53397002	53706784	-	Dnah7a	1	53706784
chr1	53755512	53785215	-	Stk17b	1	53785215
chr1	53806874	54195034	-	Hecw2	2	54195034
chr1	54250683	54368727	+	Ccdc150	1	54250683
chr1	54395877	54439026	-	Gtf3c3	1	54439026
chr1	54442572	54456786	-	Gm34066	1	54456786
chr1	54473000	54557684	-	Pgap1	1	54557684
chr1	54645340	54926387	-	Ankrd44	1	54926387
chr1	54985169	55027478	-	Sf3b1	1	55027478
chr1	55052770	55072702	+	Coq10b	1	55052770
chr1	55077833	55088243	-	Hspd1	2	55088243
chr1	55088148	55091317	+	Hspe1	1	55088148
